,project_name,html_url
1850443,cbeust/testng,https://github.com/cbeust/testng
1482817,junit-team/junit,https://github.com/junit-team/junit
747056,dcevm/dcevm,https://github.com/dcevm/dcevm
1312035,Netflix/zuul,https://github.com/Netflix/zuul
1851934,Netflix/curator,https://github.com/Netflix/curator
84162,reactive-streams/reactive-streams-jvm,https://github.com/reactive-streams/reactive-streams-jvm
1418714,joel-costigliola/assertj-core,https://github.com/joel-costigliola/assertj-core
1850629,kevinsawicki/http-request,https://github.com/kevinsawicki/http-request
1849549,JodaOrg/joda-time,https://github.com/JodaOrg/joda-time
1852524,wakaleo/game-of-life,https://github.com/wakaleo/game-of-life
619582,google/truth,https://github.com/google/truth
489827,ReactiveX/RxJava,https://github.com/ReactiveX/RxJava
1433097,JakeWharton/butterknife,https://github.com/JakeWharton/butterknife
1439305,alibaba/fastjson,https://github.com/alibaba/fastjson
582614,google/guice,https://github.com/google/guice
2871,square/moshi,https://github.com/square/moshi
1501057,Netflix/RxJava,https://github.com/Netflix/RxJava
1851669,square/otto,https://github.com/square/otto
1586136,Netflix/Hystrix,https://github.com/Netflix/Hystrix
296897,pedrovgs/Algorithms,https://github.com/pedrovgs/Algorithms
1603601,jankotek/MapDB,https://github.com/jankotek/MapDB
1384750,nkzawa/socket.io-client.java,https://github.com/nkzawa/socket.io-client.java
1747527,JakeWharton/DiskLruCache,https://github.com/JakeWharton/DiskLruCache
1801812,mongodb/morphia,https://github.com/mongodb/morphia
1604056,mattdesl/lwjgl-basics,https://github.com/mattdesl/lwjgl-basics
1850154,jayway/rest-assured,https://github.com/jayway/rest-assured
1845337,impetus-opensource/Kundera,https://github.com/impetus-opensource/Kundera
1849976,jknack/handlebars.java,https://github.com/jknack/handlebars.java
1626341,OpenTSDB/opentsdb,https://github.com/OpenTSDB/opentsdb
1852281,square/okhttp,https://github.com/square/okhttp
1502231,roboguice/roboguice,https://github.com/roboguice/roboguice
793475,spring-io/sagan,https://github.com/spring-io/sagan
921733,google/jimfs,https://github.com/google/jimfs
141926,square/javapoet,https://github.com/square/javapoet
1464733,joelittlejohn/jsonschema2pojo,https://github.com/joelittlejohn/jsonschema2pojo
55583,elastic/elasticsearch-cloud-aws,https://github.com/elastic/elasticsearch-cloud-aws
1848996,goldmansachs/gs-collections,https://github.com/goldmansachs/gs-collections
1279600,bumptech/glide,https://github.com/bumptech/glide
969882,RobotiumTech/robotium,https://github.com/RobotiumTech/robotium
1844201,richardwilly98/elasticsearch-river-mongodb,https://github.com/richardwilly98/elasticsearch-river-mongodb
1232478,google/auto,https://github.com/google/auto
663135,frankiesardo/auto-parcel,https://github.com/frankiesardo/auto-parcel
1748048,ocpsoft/prettytime,https://github.com/ocpsoft/prettytime
